,handi,move,shaperate,shapelog,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,dist1b,ownbefore,ownafter,owndiff,label
140,2,25,0.026801258,-3.61930644,0.993341445,0.992837555,-0.00050389,21.05931802,17.28626097,-3.773057057,2.236067977,-0.23373841,-0.178830067,-0.054908343,1
141,2,31,0.161926225,-1.82061445,0.991972815,0.991835116,-0.000137699,17.84019727,17.80902017,-0.031177099,0,0.748455136,0.788224194,-0.039769058,0
142,2,43,0.001,-6.907755279,0.996595677,0.984232148,-0.012363529,28.51718967,13.49644427,-15.02074541,13.03840481,-0.004163951,-0.500089622,0.495925672,1
143,2,57,0.001475158,-6.518990076,0.996892565,0.987701737,-0.009190828,16.64439167,12.28084983,-4.363541842,12.52996409,0.865397046,0.882776688,-0.017379642,0
144,3,37,0.00150792,-6.497024229,0.850163695,0.585834469,-0.264329227,6.749799431,1.799166847,-4.950632584,3.605551275,0.19740116,-0.929939978,1.127341138,1
145,4,107,0.002447212,-6.01280591,0.001118131,0.001076863,-4.13E-05,-9.750622211,-11.53437227,-1.783750054,2.828427125,0.08202652,-0.99883038,1.0808569,0
146,4,59,0.001,-6.907755279,0.998273374,0.997963075,-0.000310299,81.08665361,76.48594096,-4.600712649,10.04987562,0.975361324,0.889417603,0.085943721,1
147,2,89,0.044339024,-3.115890097,0.817796386,0.810050168,-0.007746218,4.322599272,4.554193072,0.231593801,0,0.113800283,0.886221026,-0.772420742,0
148,2,39,0.000928617,-6.981814651,0.990019482,0.97676376,-0.013255723,18.07838341,13.94177744,-4.13660597,4,-0.595545622,0.821270334,-1.416815956,0
149,2,17,0.001029004,-6.879164394,0.994358309,0.994234113,-0.000124197,27.23108438,26.70584902,-0.525235361,0,0.838321751,-0.031232474,0.869554224,0
150,2,5,0.001110084,-6.803320005,0.993671216,0.992886542,-0.000784675,24.48190157,24.8529625,0.371060928,3.16227766,0.209413958,0.343202197,-0.133788239,0
151,2,107,0.005055468,-5.287284837,0.010072203,0.012929638,0.002857435,-5.466048919,-7.10012874,-1.634079821,6.403124237,-0.996281105,0.998431359,-1.994712464,0
152,2,11,0.001153579,-6.764886112,0.993528278,0.99264422,-0.000884059,24.32711182,20.65088431,-3.676227508,5,0.460057824,-0.020700365,0.480758189,0
153,4,19,0.003083329,-5.781745438,0.997362069,0.997547778,0.000185709,40.95132798,37.70957482,-3.241753155,8.062257748,-0.161109842,0.160001775,-0.321111617,1
154,2,13,0.001,-6.907755279,0.981581672,0.974908027,-0.006673646,17.6209622,16.51699587,-1.10396633,1,0.244840844,0.272805844,-0.027965001,1
155,2,7,0.004199138,-5.472876034,0.992144553,0.991225237,-0.000919316,23.89311087,21.61939713,-2.273713734,7.071067812,-0.268668984,-0.294372565,0.025703581,0
156,2,79,0.000873044,-7.043524583,0.974310442,0.972191833,-0.002118608,4.767837054,4.342895471,-0.424941583,0,-0.925661629,0.997902708,-1.923564337,0
157,4,15,0.001,-6.907755279,0.996631933,0.995464579,-0.001167354,47.31976966,34.78025122,-12.53951844,1.414213562,0.42748768,0.355749055,0.071738625,1
158,2,25,0.006168745,-5.088259867,0.994837958,0.99451189,-0.000326068,22.89434155,22.69015508,-0.204186471,3.605551275,-0.212054807,-0.652645569,0.440590763,0
159,2,45,0.203902632,-1.590112693,0.862222216,0.862076366,-0.000145851,3.829926056,2.842021542,-0.987904515,0,0.923924199,-0.453952232,1.377876431,0
160,4,61,0.831037223,-0.185080692,0.153506828,0.065141712,-0.088365115,-13.12908839,-5.461007105,7.668081281,11.04536102,0.0443286,-0.223130142,0.267458742,0
