name,move,wrbefore,wrafter,wrdiff,trbefore,trafter,trdiff,label
Sat14_Kob_0303_4,11,0.999311636,0.999105414,-0.000206222,40.34791195,37.03575853,-3.312153413,1
Yam12_Sue_0316_1,79,0.002885817,0.002075822,-0.000809995,-9.711601282,-10.35742056,-0.645819277,1
Sat07_cho_0302_1,73,0.002863905,0.002202566,-0.000661339,-9.370492684,-9.766442174,-0.39594949,1
Yam03_Sue_0223_3,1,0.999753943,0.999790635,3.67E-05,44.54376466,45.56164891,1.017884248,1
Tak13_cho_0329_6,5,0.997761109,0.997205135,-0.000555974,22.01313965,19.60070914,-2.412430507,1
Yas10_cho_0328_10,9,0.997390035,0.996940927,-0.000449108,20.95843887,19.62015736,-1.338281513,1
Oon04_Sue_0329_4,55,0.825560752,0.458746998,-0.366813753,2.571646501,-1.145255078,-3.716901579,1
Sat08_Kob_0302_2,59,0.591802623,0.062748425,-0.529054197,0.746588761,-4.704226472,-5.450815233,1
Oon04_Sue_0329_4,65,0.577173334,0.119748763,-0.457424571,0.687684363,-4.205891289,-4.893575652,1
Tak19_Sue_0330_1,65,0.996632949,0.996529685,-0.000103265,9.762551294,44.13932222,34.37677092,1
Tak09_Sue_0329_2,55,0.799300927,0.751326534,-0.047974393,12.01021032,8.66353044,-3.346679877,1
Oon04_Sue_0329_4,93,0.873489055,0.85992311,-0.013565945,5.114444287,5.572142984,0.457698697,1
Sat14_Kob_0303_4,29,0.998138845,0.996710063,-0.001428783,29.27828196,21.79055451,-7.487727456,1
Tak01_cho_0328_1,23,0.999788048,0.999781481,-6.57E-06,68.40434426,66.32037878,-2.083965486,1
Mas04_Kob_0327_2,41,0.999446779,0.999562876,0.000116097,64.82327895,63.18556779,-1.637711155,1
Yas04_Kob_0328_4,17,0.995429418,0.99539469,-3.47E-05,18.52802175,18.46562131,-0.062400433,1
Tak16_cho_0329_9,77,0.995093605,0.986454371,-0.008639234,14.86429476,10.12809919,-4.736195568,1
Tak20_Kob_0330_2,69,0.046662986,0.019171055,-0.027491931,-4.297688131,-5.601145594,-1.303457463,1
Oon14_Kob_0329_14,15,0.997625688,0.997498688,-0.000127,22.20299253,21.4433352,-0.759657334,1
Oon15_Sue_0329_15,71,0.938946577,0.936614794,-0.002331783,3.053398154,2.964931712,-0.088466442,1
Yas04_Sue_0328_4,63,0.899117549,0.506850909,-0.39226664,5.614576564,-0.409637585,-6.024214149,1
Oon04_Kob_0329_4,79,0.868213718,0.568055812,-0.300157906,6.120126246,0.391265734,-5.728860511,1
Tak07_cho_0328_7,15,0.99973285,0.999789308,5.65E-05,47.51401854,52.88908835,5.375069812,1
Oon15_Sue_0329_15,117,0.039472004,0.006234252,-0.033237752,-2.000674189,-3.178241638,-1.17756745,1
Yas08_Kob_0328_8,81,0.992703613,0.982001918,-0.010701694,6.652018468,6.956686775,0.304668307,1
